Source,Destination,Distance(M),Distance 4-digit(M)
City_24,City_47,1114251,1114
City_24,City_31,97187,9718
City_24,City_54,1716028,1716
City_24,City_53,1729925,1729
City_24,City_19,1594107,1594
City_24,City_12,774894,7748
City_24,City_46,1146028,1146
City_24,City_45,1147045,1147
City_24,City_51,1107377,1107
City_24,City_6,1688216,1688
City_24,City_20,1615472,1615
City_24,City_56,1636630,1636
City_24,City_35,1053903,1053
City_24,City_48,1300876,1300
City_24,City_57,1680767,1680
City_24,City_58,1631525,1631
City_24,City_42,779502,7795
City_24,City_13,1196159,1196
City_24,City_14,1196841,1196
City_24,City_37,241951,2419
City_24,City_30,120625,1206
City_24,City_5,1856194,1856
City_24,City_41,1125010,1125
City_24,City_52,1824783,1824
City_24,City_26,483390,4833
City_24,City_21,1726673,1726
City_24,City_28,112889,1128
City_24,City_36,655734,6557
City_24,City_44,998340,9983
City_24,City_43,1000942,1000
City_24,City_10,573372,5733
City_24,City_32,769950,7699
City_24,City_33,765534,7655
City_24,City_3,1737701,1737
City_24,City_9,841611,8416
City_24,City_34,1046816,1046
City_24,City_59,1333367,1333
City_24,City_16,1524304,1524
City_24,City_29,112018,1120
City_24,City_8,274070,2740
City_24,City_40,1103678,1103
City_24,City_11,537148,5371
City_24,City_23,218056,2180
City_24,City_4,1088437,1088
City_24,City_25,185072,1850
City_24,City_15,1483195,1483
City_24,City_27,171089,1710
City_24,City_55,1555616,1555
City_24,City_39,284642,2846
City_24,City_49,731149,7311
City_24,City_17,1519676,1519
City_24,City_38,298368,2983
City_24,City_0,153665,1536
City_24,City_1,134367,1343
City_24,City_22,247702,2477
City_24,City_2,130014,1300
City_24,City_18,1506572,1506
City_24,City_50,686933,6869
City_24,City_60,2148113,2148
City_24,City_7,1941250,1941
City_24,City_61,737692,7376
City_47,City_24,1116847,1116
City_47,City_31,1030416,1030
City_47,City_54,2294423,2294
City_47,City_53,2308320,2308
City_47,City_19,742750,7427
City_47,City_12,1137421,1137
City_47,City_46,236963,2369
City_47,City_45,235156,2351
City_47,City_51,767505,7675
City_47,City_6,1038005,1038
City_47,City_20,745051,7450
City_47,City_56,955834,9558
City_47,City_35,1371693,1371
City_47,City_48,210488,2104
City_47,City_57,968857,9688
City_47,City_58,968184,9681
City_47,City_42,372929,3729
City_47,City_13,1237404,1237
City_47,City_14,1236783,1236
City_47,City_37,977606,9776
City_47,City_30,1014362,1014
City_47,City_5,2434589,2434
City_47,City_41,746016,7460
City_47,City_52,805068,8050
City_47,City_26,1035618,1035
City_47,City_21,605779,6057
City_47,City_28,1032730,1032
City_47,City_36,894265,8942
City_47,City_44,570266,5702
City_47,City_43,570681,5706
City_47,City_10,1139643,1139
City_47,City_32,354584,3545
City_47,City_33,356116,3561
City_47,City_3,1808219,1808
City_47,City_9,1667713,1667
City_47,City_34,1305839,1305
City_47,City_59,1089026,1089
City_47,City_16,642792,6427
City_47,City_29,1041207,1041
City_47,City_8,854835,8548
City_47,City_40,724684,7246
City_47,City_11,1363250,1363
City_47,City_23,914260,9142
City_47,City_4,1486358,1486
City_47,City_25,938803,9388
City_47,City_15,657882,6578
City_47,City_27,975757,9757
City_47,City_55,2134011,2134
City_47,City_39,875646,8756
City_47,City_49,831752,8317
City_47,City_17,635059,6350
City_47,City_38,970446,9704
City_47,City_0,1039934,1039
City_47,City_1,1060879,1060
City_47,City_22,889536,8895
City_47,City_2,1041012,1041
City_47,City_18,642500,6425
City_47,City_50,859440,8594
City_47,City_60,1912116,1912
City_47,City_7,1276660,1276
City_47,City_61,839570,8395
City_31,City_24,100228,1002
City_31,City_47,1025732,1025
City_31,City_54,1798391,1798
City_31,City_53,1812288,1812
City_31,City_19,1505588,1505
City_31,City_12,830086,8300
City_31,City_46,1101108,1101
City_31,City_45,1102125,1102
City_31,City_51,1019773,1019
City_31,City_6,1658135,1658
City_31,City_20,1526953,1526
City_31,City_56,1606549,1606
City_31,City_35,1082886,1082
City_31,City_48,1212357,1212
City_31,City_57,1650686,1650
City_31,City_58,1601444,1601
City_31,City_42,749421,7494
City_31,City_13,1248448,1248
City_31,City_14,1247827,1247
City_31,City_37,174622,1746
City_31,City_30,149684,1496
City_31,City_5,1938557,1938
City_31,City_41,1111041,1111
City_31,City_52,1779863,1779
City_31,City_26,514946,5149
City_31,City_21,1638154,1638
City_31,City_28,58358,5835
City_31,City_36,673284,6732
City_31,City_44,968772,9687
City_31,City_43,967545,9675
City_31,City_10,585430,5854
City_31,City_32,681431,6814
City_31,City_33,677015,6770
City_31,City_3,1753916,1753
City_31,City_9,923974,9239
City_31,City_34,1075799,1075
City_31,City_59,1323772,1323
City_31,City_16,1435785,1435
City_31,City_29,48291,4829
City_31,City_8,243989,2439
City_31,City_40,1089709,1089
City_31,City_11,619511,6195
City_31,City_23,187975,1879
City_31,City_4,1129745,1129
City_31,City_25,148153,1481
City_31,City_15,1394676,1394
City_31,City_27,113184,1131
City_31,City_55,1637979,1637
City_31,City_39,196123,1961
City_31,City_49,643545,6435
City_31,City_17,1431157,1431
City_31,City_38,231039,2310
City_31,City_0,118363,1183
City_31,City_1,99404,9940
City_31,City_22,217538,2175
City_31,City_2,96495,9649
City_31,City_18,1418053,1418
City_31,City_50,599329,5993
City_31,City_60,2138518,2138
City_31,City_7,1911169,1911
City_31,City_61,650088,6500
City_54,City_24,1719341,1719
City_54,City_47,2302410,2302
City_54,City_31,1804665,1804
City_54,City_53,18285,1828
City_54,City_19,3036203,3036
City_54,City_12,1195548,1195
City_54,City_46,2209604,2209
City_54,City_45,2210518,2210
City_54,City_51,2775720,2775
City_54,City_6,2515391,2515
City_54,City_20,3038504,3038
City_54,City_56,2567794,2567
City_54,City_35,968106,9681
City_54,City_48,2441150,2441
City_54,City_57,2614365,2614
City_54,City_58,2549306,2549
City_54,City_42,1938520,1938
City_54,City_13,1302027,1302
City_54,City_14,1304637,1304
City_54,City_37,1954306,1954
City_54,City_30,1652337,1652
City_54,City_5,534304,5343
City_54,City_41,1971630,1971
City_54,City_52,2889181,2889
City_54,City_26,1420326,1420
City_54,City_21,2888241,2888
City_54,City_28,1753239,1753
City_54,City_36,1426135,1426
City_54,City_44,1844960,1844
City_54,City_43,1847562,1847
City_54,City_10,1286885,1286
City_54,City_32,2160818,2160
City_54,City_33,2140999,2140
City_54,City_3,1484202,1484
City_54,City_9,556025,5560
City_54,City_34,1032819,1032
City_54,City_59,1909965,1909
City_54,City_16,2936245,2936
City_54,City_29,1776212,1776
City_54,City_8,1744257,1744
City_54,City_40,1950298,1950
City_54,City_11,1233340,1233
City_54,City_23,1726623,1726
City_54,City_4,851283,8512
City_54,City_25,1774390,1774
City_54,City_15,2930492,2930
City_54,City_27,1762160,1762
City_54,City_55,261107,2611
City_54,City_39,1941707,1941
City_54,City_49,2441318,2441
City_54,City_17,2928512,2928
City_54,City_38,2010723,2010
City_54,City_0,1866020,1866
City_54,City_1,1846722,1846
City_54,City_22,1686835,1686
City_54,City_2,1842369,1842
City_54,City_18,2935953,2935
City_54,City_50,2397102,2397
